id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;st_asgeojson
27640;19093;RUIZ HUIDOBRO AV.;0;0;3701;3799;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4849951735641,-34.5500330097881],[-58.4851207603277,-34.5500124681602],[-58.4852674936965,-34.5500561828343],[-58.4859972161075,-34.5504400277279]]]}
27642;19093;RUIZ HUIDOBRO AV.;0;0;3801;3899;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4859972161075,-34.5504400277279],[-58.4869348737851,-34.5509068508272]]]}
27644;19093;RUIZ HUIDOBRO AV.;0;0;3901;3999;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4869348737851,-34.5509068508272],[-58.4877721848829,-34.5513217790855]]]}
27645;19093;RUIZ HUIDOBRO AV.;0;0;4001;4099;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4877721848829,-34.5513217790855],[-58.4883653452315,-34.5515937919878],[-58.4883938409744,-34.5516173568412],[-58.4884622689195,-34.5517070302235]]]}
27646;19093;RUIZ HUIDOBRO AV.;0;0;4101;4199;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4888261061541,-34.5518300571955],[-58.4888987587405,-34.5518627792469],[-58.488997836917,-34.5519319647666],[-58.489081122477,-34.5520300528944],[-58.4891391669628,-34.5520884865224],[-58.4891997377118,-34.5521573563922],[-58.4892502124176,-34.5522116168816],[-58.489288064174,-34.552238744372],[-58.4893626606809,-34.5522771327881]]]}
27649;19093;RUIZ HUIDOBRO AV.;0;0;4201;4299;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4893626606809,-34.5522771327881],[-58.4899850349812,-34.5526175892477]]]}
27652;19093;RUIZ HUIDOBRO AV.;0;0;4301;4399;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4902606395095,-34.5527529997903],[-58.4912112846131,-34.5532269350281]]]}
27653;19093;RUIZ HUIDOBRO AV.;0;0;4401;4499;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4912112846131,-34.5532269350281],[-58.4921217588712,-34.5537248594146]]]}
27656;19093;RUIZ HUIDOBRO AV.;0;0;4501;4599;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4921217588712,-34.5537248594146],[-58.4930588276201,-34.5542029878725]]]}
27658;19093;RUIZ HUIDOBRO AV.;0;0;4601;4699;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4930588276201,-34.5542029878725],[-58.4939621545154,-34.5547073052132]]]}
27659;19093;RUIZ HUIDOBRO AV.;0;0;4701;4799;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4939621545154,-34.5547073052132],[-58.4948786969729,-34.555204400881]]]}
27686;0;CALZADA CIRCULAR PLAZA ITALIA;0;0;0;0;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4207514441656,-34.5818628741938],[-58.4205167835228,-34.5818361926835],[-58.4202809223882,-34.5816881577421],[-58.4201922366151,-34.5815423543947],[-58.4201314204267,-34.5814164507568],[-58.4201170740256,-34.5813705919567]]]}
27687;0;CALZADA CIRCULAR PLAZA ITALIA;0;0;0;0;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4201170740256,-34.5813705919567],[-58.420145359884,-34.5812431961688],[-58.4202289901842,-34.5811093190215],[-58.4204014222593,-34.5809409161615],[-58.4205842879586,-34.5807941144418]]]}
165;12107;DEL LIBERTADOR AV.;7902;8000;7901;7999;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4626020084246,-34.5421123245999],[-58.4631815565992,-34.5415838193244]]]}
195;12107;DEL LIBERTADOR AV.;7802;7900;7801;7899;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4619831739576,-34.5426869978878],[-58.4626020084246,-34.5421123245999]]]}
231;12107;DEL LIBERTADOR AV.;7702;7800;7701;7799;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4612942839936,-34.5433267407221],[-58.4619831739576,-34.5426869978878]]]}
268;19047;RIVADAVIA MARTIN, COMODORO;1802;1850;0;0;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4644858831185,-34.5439616385743],[-58.4643674821174,-34.5438509106013],[-58.4642451535644,-34.543490690508]]]}
269;12107;DEL LIBERTADOR AV.;7602;7700;7601;7699;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4606222358845,-34.5439509157705],[-58.4612942839936,-34.5433267407221]]]}
315;12107;DEL LIBERTADOR AV.;7502;7600;7501;7599;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.45979543953,-34.5447187522585],[-58.4606222358845,-34.5439509157705]]]}
333;19047;RIVADAVIA MARTIN, COMODORO;1852;1900;1871;1899;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4644858831185,-34.5439616385743],[-58.4644327187851,-34.5440533636646],[-58.464652911871,-34.5447528964891]]]}
357;12107;DEL LIBERTADOR AV.;7402;7500;7401;7499;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4589242880867,-34.5454020002231],[-58.45979543953,-34.5447187522585]]]}
398;12107;DEL LIBERTADOR AV.;7302;7400;7301;7399;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4581166184467,-34.5460577782101],[-58.4589242880867,-34.5454020002231]]]}
421;6025;FIGUEROA ALCORTA, PRES. AV.;7752;7800;7751;7799;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4516725671972,-34.5463523097828],[-58.4521240182848,-34.5462843183419]]]}
426;6025;FIGUEROA ALCORTA, PRES. AV.;7702;7750;7701;7749;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4510616090356,-34.5464442996712],[-58.4516725671972,-34.5463523097828]]]}
433;6025;FIGUEROA ALCORTA, PRES. AV.;7652;7700;7651;7699;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4503292745751,-34.5465545849867],[-58.4510616090356,-34.5464442996712]]]}
